case,path,family,split,mitigation,depth,error,finalAbsError,rmsError,latencyCostPct,memoryCostMiB
id-conventional-random,conventional,bounded-random,identification,observe-only,0,0.018,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,1,0.026439999999999995,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,2,0.0415552,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,3,0.052879616000000004,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,4,0.07110998528000001,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,5,0.08579878410240001,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,6,0.10766268683059202,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,7,0.1262757017770394,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,observe-only,8,0.15237775791920258,0.15237775791920258,0.08738167332562014,0,0
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,0,0.018,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,1,0.014992800000000002,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,2,0.015499178880000002,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,3,0.013738250178048,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,4,0.015079132319220943,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,5,0.013876987000950344,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,6,0.015592030495836351,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,7,0.01464042362001202,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,FP32-checkpoint,8,0.01652322765596005,0.01652322765596005,0.015377362822600889,7.5,16
id-conventional-random,conventional,bounded-random,identification,selective-FP32-hidden,0,0.018,0.03276843751902759,0.02545362274831825,4,32
